Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names,Keep,Reason
www,m2mdemo,PRODUCT,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,co-test-statewide,,,,,FALSE,
www,hungry-hippo-anthony-noel,,,,,FALSE,
www,pv-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-mesa,,,,,FALSE,
www,inddex-upload-test-3,PRODUCT,CommCare Community Edition (With ERM),,,FALSE,
www,julia-fuller-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,demo-183,FALSE,
www,faes,IMPLEMENTATION,Advanced Plan (10 reports limit),True,,FALSE,
www,campaign-madagascar,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,True,,TRUE,production domain
www,cdc-pods-chad,INTERNAL,Dimagi Only CommCare Enterprise Edition,,cdc-pods-chad-prod,FALSE,
www,nj-covid-morris,,,,,FALSE,
www,ny-wyoming-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,acoffeemachineinanoffice,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,pop-health-surveillance,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,1000k-load,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,aashima-test,,,,,FALSE,
www,campaign-sierra-leone,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,,FALSE,
www,unicef-vaccination-benin,PRODUCT,CommCare Paused Edition,,,FALSE,
www,project-space-a,INTERNAL,CommCare Advanced Edition - Pay Monthly,True,"mirror1,project-space-b",FALSE,
www,co-elpaso,,,,,FALSE,
www,dawkins-tests,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-statewide,,,,,FALSE,
www,campaign-guinea,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,,FALSE,
www,charles-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,nj-performance,,,,,FALSE,
