Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
staging,add-on-uat2,PRODUCT,CommCare Paused Edition (With ERM),,
staging,co-bha-ae-performance,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,erm-downstream,,,,
staging,mriese,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,smoketest,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,ap-test-project,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,ethan-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,ush-cjw-4,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,another-downstream,NOT_SET,CommCare Paused Edition (With ERM),True,
staging,test-60,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,erm-migration-e2,IMPLEMENTATION,Software_Plan_E (With ERM),True,
staging,kt-load-50k,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,b-d-b-omain,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"accounts-billing,advanced-project"
staging,qa-commtrack,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,sql-sravan-1,IMPLEMENTATION,CommCare Standard Edition - Report Builder (5 Reports),,
staging,test-55,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,kartikaccc,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,linked-a-up,INTERNAL,Dimagi Only CommCare Enterprise Edition,,linked-a-down
staging,acoffeemachineinanoffice,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,linked-rules-down2,IMPLEMENTATION,linked_rules,True,
staging,ush-cjw-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,4030-downstream2,IMPLEMENTATION,4030_Enterprise,True,
staging,test-61,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
