Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
production,em-sscs,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,shulu-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,dimagi-101,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,polio-mozambique,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,
production,ct-sravan,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,jamaica-vaccine,IMPLEMENTATION,Custom Advanced Plan with ERM (Release Management),True,
production,wm-location-import-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,vectorlink-burkina-faso,PRODUCT,CommCare Paused Edition,,
production,campagne-niger-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,,campagne-niger
production,co-northeast,,,,
production,lauren-eby-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,lauren-eby
production,nj-covid-staging,,,,
production,lambdentest-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,"sandbox-5,calc-practice-challenge"
production,co-tchd,,,,
production,co-adams,,,,
production,2fa-kai-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,us-monkeypox-template,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"us-monkeypox-qa,us-monkeypox-sandbox,tc-monkeypox-staging,ak-monkeypox-staging,us-monkeypox-demo"
production,ny-cortland-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,
production,mriese,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,campagne-mali,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,
production,michel-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,experimentations-ma
production,corpora,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,ctsimssql
production,ethan-test-stuff,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,bha-location-redesign-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,kk-test-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,iita-fcms-nigeria,NOT_SET,CommCare Paused Edition,,franks-test
production,connect-2,INTERNAL,Enterprise Plan for Connect - test spaces,,"ccc-nigeria-experiments,ccc-nigeria-testing,ccc-mozambique,connect-testing,connect-experiments"
production,co-lincoln,,,,
production,inddex-test-perf,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,nt-test-2020,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,navajo-covid19-loadtestin,PRODUCT,CommCare Paused Edition,,
production,sahel-prep,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,farid-test,,,,https://staging.commcarehq.org/a/farid-remote-test/
production,inddex-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,nj-covid-somerset,,,,
production,ny-orange-cdcms,PRODUCT,CommCare Paused Edition,True,
production,teste-project-435,,,,
production,initial-test-project,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,mruga-sample-apps,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,smk,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-statewide-cdcms,PRODUCT,CommCare Paused Edition,True,
