"Place","Population"
"WHITE PLAINS",58539
"ELYRIA",58458
"NORTH MIAMI",58441
"CONROE",58431
"MORRISTOWN",58413
"GARDENA",58397
"BAYONNE",58359
"LITTLETON",58280
"HENRIETTA",58019
"TULARE",57763
"GALVESTON",57554
"SHREWSBURY",57552
"BROOMFIELD",57538
"MUSKEGON",57532
"LOWER MERION",57411
"SUGAR CREEK",57396
"FALLS",57223
"DUBUQUE",57222
"MIDWEST CITY",57193
"OHIO",57182
"DIAMOND BAR",57105
"DES PLAINES",56810
"SANTA CRUZ",56810
"FOREST PARK",56730
"ROWLETT",56716
"MADERA",56692
"PORT ARTHUR",56674
"WEST DES MOINES",56503
"BLUE SPRINGS",56452
"ST PETERS",56385
"LAUREL",56362
"CARSON CITY",56349
"SANTEE",56342
"WEYMOUTH",56259
"SELMA",56255
"NATIONAL CITY",56123
"PERRIS",56118
"TAUNTON",56011
"CHICOPEE",55994
"SAN RAFAEL",55901
"NEW BRAUNFELS",55867
"FOUNTAIN VALLEY",55844
"HUTCHINSON",55800
"OWENSBORO",55745
"WHITE RIVER",55726
"LAKE HAVASU CITY",55657
"NEW TRIER",55596
"SHELBYVILLE",55578
"OCALA",55568
"LA MESA",55547
"JOHNSTOWN",55525
"SHERIDAN",55502
"LA PORTE",55432
"SHEBOYGAN",55346
"IDAHO FALLS",55312
"NEW LONDON",55250
"ORLAND PARK",55236
"PETALUMA",55178
"POCATELLO",55076
"BUCKEYE",55070
"PARAMOUNT",55018
"NORTH BERGEN",54912
"CHAPEL HILL",54896
"CASPER",54874
"NOVI",54764
"MENTOR",54739
"OAK LAWN",54700
"SOUTH JORDAN",54631
"EUREKA",54612
"CHELSEA",54592
"PORT ORANGE",54555
"MARSHFIELD",54497
"MARGATE",54475
"LIMA",54450
"DALTON",54390
"ITHACA",54281
"CUPERTINO",54278
"ROSEMEAD",54272
"NORTH PORT",54223
"BRADENTON",53973
"COTTAGE GROVE",53871
"WALNUT",53862
"PENSACOLA",53826
"LA CROSSE",53785
"LIBERTYVILLE",53743
"BATTLE CREEK",53689
"HOFFMAN ESTATES",53655
"ROCKLIN",53572
"HATTIESBURG",53533
"WOODSTOCK",53475
"KETTERING",53460
"NOVATO",53449
"EULESS",53352
"BRANDON",53158
"HARLEM",53118
"BAY CITY",53085
"PEABODY",53078
"MOUNT PROSPECT",53050
"PALMYRA",53015
"COLTON",53001
"STANTON",52924
"SHORELINE",52836
"SHERWOOD",52751
"MORRIS",52698
"PALOS",52554
"NORMAL",52508
"CATHEDRAL CITY",52436
"PRESCOTT",52404
"PISCATAWAY",52390
"WILDWOOD",52284
"WESTPORT",52280
"PORTERVILLE",52153
"CLAREMONT",52138
"VALDOSTA",52087
"SARASOTA",52025
"HELENA",52019
"REVERE",51895
"PALM DESERT",51878
"GRAND FORKS",51797
"MIFFLIN",51797
"NEW BRUNSWICK",51579
"ALPHARETTA",51569
"CORVALLIS",51560
"PELHAM",51403
"FULTON",51355
"NIAGARA FALLS",51295
"JASPER",51240
"HOBART",51139
"CERRITOS",51113
"LAKE ELSINORE",51102
"GRAPEVINE",51098
"CUYAHOGA FALLS",51095
"SHELTON",51084
"WATSONVILLE",51053
"MASON",51051
"LINDEN",51002
"DARIEN",50999
"LA GRANGE",50854
"DEARBORN HEIGHTS",50820
"SUMMERVILLE",50814
"MINNETONKA",50804
"MONTVILLE",50727
"JUPITER",50718
"PALMER",50642
"WILTON",50592
"FLORISSANT",50553
"COCONUT CREEK",50544
"THOMASVILLE",50471
"SARATOGA",50443
"EAST PROVIDENCE",50399
"TIGARD",50390
"PINE BLUFF",50386
"TITUSVILLE",50211
"JOPLIN",50208
"GILROY",50207
"MISHAWAKA",50126
"HANFORD",50053
"YUCAIPA",50022
"ALTON",50001
"PARSIPPANY-TROY HILLS",49982
"GLENDORA",49979
"PLACENTIA",49938
"KENTWOOD",49937
"BERWYN",49932
"LOUISVILLE",49928
"IRONDEQUOIT",49896
"POWAY",49881
"PALM BEACH GARDENS",49868
"PORTER",49820
"LA MIRADA",49752
"MCHENRY",49713
"CASTLE ROCK",49625
"SEYMOUR",49571
"SAN RAMON",49548
"SYLVANIA",49531
"JEFFERSON CITY",49516
"RANCHO SANTA MARGARITA",49458
"DEKALB",49446
"BINGHAMTON",49334
"OREGON",49274
"YORKTOWN",49254
"JOHNSTON",49170
"LEHI",48993
"EAST BRUNSWICK",48935
"ORANGETOWN",48792
"BARRINGTON",48718
"PERTH AMBOY",48711
"EAST HARTFORD",48634
"BELOIT",48431
"HAVERFORD",48379
"GREENE",48289
"DESOTO",48288
"DELTA",48230
"LENEXA",48087
"HURON",48073
"WALKER",48053
"PLEASANT GROVE",47983
"ENID",47968
"GLADSTONE",47955
"WEST SACRAMENTO",47885
"COLLEGE PARK",47850
"ST MARYS",47817
"CYPRESS",47762
"EDINA",47708
"NEW MILFORD",47634
"FREEHOLD",47380
"WALLINGFORD",47373
"MANHEIM",47368
"GLENVIEW",47330
"LUMBERTON",47290
"BELTON",47284
"PETERSBURG",47266
"PINELLAS PARK",47217
"CARBONDALE",47191
"ELMHURST",47165
"EUCLID",47146
"NOBLESVILLE",47048
"MARLBORO",47033
"FAIRFAX",47011
"BAINBRIDGE",46910
"EDWARDSVILLE",46872
"BEVERLY HILLS",46800
"COVINA",46781
"AZUSA",46672
"SIDNEY",46628
"WEST NEW YORK",46553
"RIVERDALE",46546
"GARDNER",46535
"PARADISE",46423
"BARNSTABLE TOWN",46297
"WEST ORANGE",46279
"SOUTHINGTON",46231
"CORINTH",46203
"PARK RIDGE",46190
"ROBINSON",46167
"OLYMPIA",46100
"BEAVERCREEK",46073
"PLEASANT HILL",46060
"MENIFEE",45994
"WAYNESBORO",45905
"HARRISONBURG",45864
"MARICOPA",45840
"LOWER PAXTON",45778
"BILOXI",45768
"LINCOLN PARK",45737
"PERINTON",45695
"FALMOUTH",45680
"MARYVILLE",45669
"HEMPFIELD",45655
"CEDAR HILL",45649
"WAUWATOSA",45599
"GENOA",45583
"EAST LANSING",45562
"ST LOUIS PARK",45561
"MIDDLETON",45431
"RUSSELLVILLE",45418
